whole_text,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_t1_z,volume_t1_z,close_t2_z,volume_t2_z,close_t3_z,volume_t3_z,close_t4_z,volume_t4_z,close_t5_z,volume_t5_z
: One step closer to the first orbital flight test of Starship,0,0,0,1,0.302,0.0037,0.6943,2.555,1.379,0.003,0.38,1.459,1.732,1.015,0.44,-0.025,1.511,0.377,-1.263,-1.032,0.077
Original Top Gun is a great movie. Just rewatched. Looking forward to seeing the sequel.,0,0,0,0,0.9864,0.0032,0.0104,1.125,-0.601,0.0,0.184,1.803,-1.463,1.535,-0.448,3.043,0.072,1.235,-0.508,1.298,-3.528
: Watch Falcon 9 launch 53 Starlink satellites to low-Earth orbit →,0,0,0,1,0.0674,0.008,0.9246,2.272,0.589,0.002,0.209,-0.572,-0.957,-0.677,-3.455,-0.805,-2.164,-1.226,-3.071,-1.06,-2.758
"Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship – marking SpaceX’s first 13th flight of a first stage booster and 100th successful mission with a flight proven orbital class rocket! Our best landing video to date, thanks to Starlink!",0,0,1,0,0.9654,0.002,0.0325,1.515,-1.833,0.001,0.477,1.044,-0.231,5.216,0.349,9.097,1.108,8.713,0.438,9.601,-0.472
Doing my best to help the underpopulation crisis. A collapsing birth rate is the biggest danger civilization faces by far.,0,0,0,0,0.0299,0.752,0.2181,-2.505,0.495,0.002,0.214,0.569,-0.725,0.681,-1.148,0.612,-1.233,1.748,1.039,2.31,4.31
I hope you have big families and congrats to those who already do!,0,0,0,0,0.9837,0.0027,0.0136,2.638,1.048,0.002,0.211,-1.118,0.516,-1.869,-0.222,-1.321,-2.093,-1.777,-2.721,-0.953,-1.955
Maybe Tesla should make a highly configurable Robovan for people & cargo?,1,0,0,0,0.1081,0.0467,0.8452,2.039,-1.8,0.001,0.315,1.387,0.998,2.731,-0.913,4.151,1.101,3.254,2.731,4.599,-0.356
": In addition to withstanding extreme cold, heat, hail, sleet, heavy rain, and gale force winds, Starlink is rugged enough to wit…",0,0,0,1,0.178,0.2338,0.5883,2.01,-0.669,0.001,0.257,2.558,0.425,2.317,-0.882,2.472,-0.785,1.479,-0.652,1.479,-1.854
"For improved quality of sleep, raise head of your bed by about 3” or 5cm and don’t eat 3 hours before bedtime",0,0,0,0,0.4653,0.0153,0.5194,-1.658,1.828,0.001,0.228,-1.718,2.902,-2.953,1.368,-1.907,0.123,-0.17,-1.713,-0.439,3.243
": In Dog Mode, air conditioning will stay on while the car is locked, keeping your pets safe & comfortable",0,0,0,1,0.3567,0.0105,0.6328,-2.056,1.832,0.002,0.259,-0.326,-0.206,2.065,1.487,1.833,0.888,3.334,5.34,4.19,3.066
": Falcon 9 has completed 31 missions so far this year, delivering ~351 metric tons to orbit – carrying astronauts & research to t…",0,0,0,1,0.2648,0.0065,0.7287,-1.893,0.442,0.001,0.371,-0.613,-0.493,-0.69,5.998,-0.845,0.091,1.071,2.715,1.967,3.725
Congrats to Tesla Fremont + Giga Nevada for making their 2 millionth car!,1,0,0,0,0.9796,0.0018,0.0186,1.105,0.525,0.001,0.352,-0.577,-0.165,-0.372,-1.099,1.232,1.375,1.606,0.206,0.091,-0.046
Model X auto-presenting doors 🎥: One of the best features of Model X,1,0,1,0,0.9786,0.0022,0.0192,2.498,-1.603,0.001,0.419,0.816,-1.394,2.111,-1.237,2.731,-0.476,4.232,0.225,3.887,-0.809
Sickonolfi’s pack of attack chihuahuas are burning up phone lines today for revenge after his bogus article 🤣🤣,0,0,0,0,0.0145,0.8845,0.101,-2.163,1.769,0.0,0.317,2.331,0.601,0.205,-1.3,-0.015,-1.43,2.697,-0.934,0.608,-0.937
"A new philosophy of the future is needed. I believe it should be curiosity about the Universe – expand humanity to become a multiplanet, then interstellar, species to see what’s out there.",0,0,0,0,0.3352,0.0359,0.6288,-1.669,-2.224,0.0,0.486,-4.967,2.297,-1.717,0.12,1.059,1.317,2.149,1.693,3.552,0.538
The media is a click-seeking machine dressed up as a truth-seeking machine,0,0,0,0,0.0181,0.7292,0.2528,0.235,2.375,0.001,1.232,-0.836,0.598,3.643,0.24,3.938,-0.001,3.784,-0.233,1.955,-0.227
"I can’t say for sure that Starship will reach escape velocity, but my hubris certainly has",0,0,0,0,0.0836,0.54,0.3764,2.556,-1.861,0.001,0.253,1.927,1.248,3.4,-1.415,2.904,-1.34,2.89,-0.297,3.342,-0.752
: Livestream the 2022 Annual Tesla Shareholder Meeting today at 4:30pm CT,1,0,0,1,0.0615,0.0048,0.9336,-1.909,-2.631,0.001,0.209,-1.974,-2.149,-2.406,-0.544,-1.594,-0.955,-0.942,-1.089,-1.134,-1.141
Hustling to get Starship Booster 7 back to pad to test outer ring of 20 engines,0,0,0,0,0.1558,0.0193,0.8248,1.227,-1.511,0.0,0.312,2.294,-1.019,2.201,-1.175,1.962,-0.631,6.179,1.069,5.029,0.105
: First Model Y deliveries in Australia 🇦🇺 and New Zealand 🇳🇿,1,0,0,1,0.0829,0.0039,0.9132,-2.617,-0.009,0.002,0.279,-2.109,2.431,-3.445,1.57,-2.268,0.56,-1.919,-0.106,-2.394,-1.562
: SKY Perfect JSAT has selected Starship for launch of its Superbird-9 communications satellite!,0,0,0,1,0.4447,0.0041,0.5512,-2.443,-1.174,0.001,0.22,-2.437,2.069,-1.102,-0.476,-1.451,-0.32,-2.539,-0.336,-0.486,-0.294
: Separation confirmed! Dragon will perform three departure burns to move away from the,0,0,0,1,0.0485,0.0143,0.9372,-2.154,2.076,0.001,0.889,-1.672,0.255,-1.556,-0.126,-1.637,-0.594,-0.867,-0.538,-0.001,-0.253
: Watch Falcon 9 launch 53 Starlink satellites to orbit →,0,0,0,1,0.1104,0.0058,0.8838,2.464,0.715,0.001,0.454,-0.841,-0.052,-1.035,-0.321,-0.901,-0.789,-1.055,-0.135,-1.076,-1.287
"Tomorrow night at 7:00 p.m. CT, Elon and ’s Mike Sievert will announce plans to increase connectivity. Tune in to watch live → This is something special",0,0,1,0,0.9132,0.0015,0.0853,-2.313,-1.242,0.0,0.238,-0.552,-0.463,0.159,3.073,-0.024,-1.052,-1.741,4.047,-2.985,7.654
"You’re right, we should credit Tesla owners $100 if we change appointments with less than 24 hours notice. Should be reciprocal.",1,0,0,0,0.4015,0.056,0.5425,-1.324,-1.591,0.0,0.337,4.25,1.41,9.217,3.849,9.329,2.233,11.004,0.634,6.334,0.908
"“They didn’t care how much it would cost them.” People around Twitter whistleblower Peiter “Mudge” Zatko are being inundated by offers from secret clients paying for dirt on him, as he testifies on the Hill about an alleged security crisis at Twitter. NEW: Anyone know who the secret clients are? Let’s out them on Twitter rn haha.",0,0,1,0,0.0396,0.3412,0.6192,-1.776,-0.015,0.001,0.438,-1.012,-0.133,0.687,0.557,1.79,0.443,2.96,1.411,2.268,0.247
There is too much latency in Fed decisions. Problematic in a fast-changing world.,0,0,0,0,0.019,0.7217,0.2593,-2.182,2.495,0.001,0.243,-1.0,-0.324,-1.237,-1.397,-1.501,-2.164,-0.577,-0.716,-1.093,-2.224
"Falcon 9 fairing cam captures 2nd stage plume, booster entry burn & Earth in twilight",0,0,0,0,0.0747,0.0175,0.9078,0.41,0.921,0.001,0.239,3.202,2.496,1.055,-0.494,-0.999,-0.462,1.761,-0.701,2.435,-0.895
"My son, Saxon, was amazed that so many paper newspapers are still produced every day. He said they probably just search the Internet & print it out. Yup, with rare exception, that is *actually* what they do haha.",0,0,0,0,0.699,0.04,0.2611,0.149,-1.117,0.001,0.218,-1.22,-1.587,-3.403,4.416,0.119,0.044,2.153,5.075,2.451,4.789
"Note, this event is meant for recruiting AI & robotics engineers, so will be highly technical",0,0,1,0,0.5192,0.0094,0.4713,1.849,1.02,0.001,0.296,1.945,-0.376,2.612,2.684,3.253,1.9,3.0,0.7,2.559,2.163
"Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes & even seas that aren’t too choppy",1,0,0,0,0.5216,0.0117,0.4667,1.245,0.255,0.002,0.282,1.281,1.502,1.196,-1.817,1.098,-1.638,0.171,-0.897,-0.378,-0.587
"Ukraine-Russia Peace: - Redo elections of annexed regions under UN supervision. Russia leaves if that is will of the people. - Crimea formally part of Russia, as it has been since 1783 (until Khrushchev’s mistake). - Water supply to Crimea assured. - Ukraine remains neutral.",0,0,0,0,0.1045,0.0302,0.8654,1.267,-1.564,0.001,0.3,-0.459,-1.587,-0.819,-2.126,-2.087,-0.93,-0.675,-1.425,-1.655,-0.33
"The will of the people should decide whether they are part of Russia or Ukraine, but Russia invaded areas that would unequivocally choose to be part of Ukraine",0,0,0,0,0.021,0.345,0.6339,1.486,1.859,0.002,0.281,1.39,0.461,2.264,-0.409,3.012,1.87,2.378,0.591,2.461,1.051
Let’s try this then: the will of the people who live in the Donbas & Crimea should decide whether they’re part of Russia or Ukraine,0,0,0,0,0.0296,0.1089,0.8615,-2.45,1.827,0.002,0.717,-2.16,0.051,-2.203,-0.039,-3.001,-0.006,-2.72,0.123,-2.224,0.201
: Watch Falcon 9 launch Dragon and Crew-5 to the →,0,0,0,1,0.091,0.0062,0.9028,-2.091,2.108,0.003,0.355,-1.787,0.792,-2.279,0.479,-2.34,1.869,-1.885,0.077,-2.119,-0.859
"Sam, there is a such a thing as meditating too much",0,0,0,0,0.0636,0.2677,0.6687,-2.158,0.292,0.001,0.399,0.029,-0.81,-0.403,-1.076,0.749,0.246,1.897,0.176,0.748,-0.169
"I will not let you down, no matter what it takes",0,0,0,0,0.791,0.0272,0.1817,0.312,0.943,0.0,0.344,-2.748,-0.594,-2.123,1.1,-2.828,1.246,-2.115,-0.492,-2.748,-0.295
Congrats to team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.,0,0,0,0,0.9834,0.0022,0.0145,-0.873,-2.098,0.001,0.227,-0.194,-0.323,1.015,-1.436,-2.081,0.427,1.888,0.204,0.578,-1.979
"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of the world’s most combustible conflicts have sometimes been a boon, but their messaging has also caused problems.”",0,0,0,0,0.0069,0.8357,0.1573,2.615,2.213,0.002,0.638,1.115,1.06,0.922,-0.696,0.264,-0.644,1.135,-0.659,1.36,-0.026
"NYT is also expert at space flight, but at least they issue corrections (49 years later)",0,0,0,0,0.3416,0.069,0.5894,-1.883,-2.149,0.001,0.197,-0.75,5.138,0.151,-1.013,-1.042,-0.825,-0.759,-2.031,-4.495,3.519
A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias,0,0,0,0,0.9405,0.0068,0.0528,-0.333,1.622,0.001,0.356,1.454,0.055,1.423,-1.035,1.416,-0.515,1.391,-0.368,1.527,-0.832
Twitter will be forming a content moderation council with widely diverse viewpoints. No major content decisions or account reinstatements will happen before that council convenes.,0,0,0,0,0.0608,0.0186,0.9206,2.395,1.483,0.002,0.669,2.058,0.406,1.742,0.421,1.671,-0.448,0.785,0.262,0.921,-0.77
"If I had a dollar for every time someone asked me if Trump is coming back on this platform, Twitter would be minting money!",0,0,0,0,0.2152,0.3366,0.4482,2.137,-1.583,0.001,0.219,0.799,-1.639,0.606,-1.282,0.524,-1.152,2.422,-1.047,3.057,0.135
Falcon Heavy’s side boosters have landed – marking the 150th and 151st recovery of orbital class rockets Sonic BOOMS!!,0,0,1,0,0.9435,0.0015,0.055,-0.937,-0.7,0.002,0.16,0.927,-1.804,0.311,-3.626,0.742,-3.606,1.172,-1.496,0.221,-3.704
": Falcon Heavy launches USSF-44 to orbit, and its two side boosters return to Earth – SpaceX's 50th mission of 2022",0,0,0,1,0.5603,0.0032,0.4365,2.385,0.64,0.001,0.352,0.031,-0.525,-0.832,-0.49,-1.036,0.222,-3.559,-0.114,-4.885,0.842
Twitter’s current lords & peasants system for who has or doesn’t have a blue checkmark is bullshit. Power to the people! Blue for $8/month.,0,0,0,0,0.0142,0.822,0.1637,-2.231,-0.449,0.001,0.215,-1.842,-1.198,-4.718,9.974,-4.855,5.127,-3.828,1.585,-2.709,5.45
Being attacked by both right & left simultaneously is a good sign,0,0,0,0,0.3822,0.1977,0.4202,2.29,-1.326,0.001,0.204,3.167,2.237,5.694,2.428,2.665,5.102,0.443,4.083,1.581,3.773
Twitter is simply the most interesting place on the Internet. That’s why you’re reading this tweet right now.,0,0,0,0,0.9726,0.004,0.0234,2.489,-0.471,0.003,0.374,1.623,-1.083,0.55,-1.501,0.908,-1.396,-0.077,-0.838,-0.765,-1.647
"Twitter has had a massive drop in revenue, due to activist groups pressuring advertisers, even though nothing has changed with content moderation and we did everything we could to appease the activists. Extremely messed up! They’re trying to destroy free speech in America.",0,0,0,0,0.0056,0.9286,0.0658,-1.764,-2.727,0.002,0.308,-0.715,-1.465,-0.367,-0.997,-0.405,-1.092,0.147,-0.815,-0.429,-1.096
"To independent-minded voters: Shared power curbs the worst excesses of both parties, therefore I recommend voting for a Republican Congress, given that the Presidency is Democratic.",0,0,0,0,0.4787,0.0304,0.4909,-2.153,1.167,0.002,0.266,-2.838,6.101,-2.917,1.779,-3.651,3.042,-3.215,2.491,-3.631,0.532
": Meet Megafactory, our new Megapack factory in Lathrop, CA 🔋🔋🔋",0,0,0,1,0.4688,0.0027,0.5285,2.677,0.391,0.002,0.168,0.59,-1.975,0.734,-2.928,-0.128,-1.823,-0.243,-2.55,-1.249,-3.29
"To be clear, my historical party affiliation has been Independent, with an actual voting history of entirely Democrat until this year",0,0,0,0,0.1091,0.0219,0.869,-2.355,2.201,0.001,0.353,-2.425,0.14,-2.985,-0.935,-3.141,-0.701,-3.896,-0.11,-4.78,1.176
Please note that Twitter will do lots of dumb things in coming months. We will keep what works & change what doesn’t.,0,0,0,0,0.0251,0.726,0.249,2.535,1.764,0.002,0.341,1.619,-0.841,1.668,-1.356,3.086,0.862,2.478,-0.978,1.835,-0.796
": Update on our efforts to combat hateful conduct: We've not only mitigated the recent surge in harmful behavior, but have reduce…",0,0,0,0,0.1907,0.0901,0.7192,-0.383,-2.144,0.001,0.144,0.313,-1.839,0.863,-1.299,5.24,7.825,3.5,2.29,0.775,2.917
I love when people complain about Twitter … on Twitter 🤣🤣,0,0,0,0,0.7841,0.0779,0.138,1.57,1.964,0.001,0.196,-0.558,-1.017,-0.732,-0.054,-2.623,0.172,-1.983,-1.224,-3.059,-1.488
Usage of Twitter continues to rise. One thing is for sure: it isn’t boring!,0,0,0,0,0.93,0.0059,0.0641,-1.856,-0.332,0.001,0.446,-2.463,0.636,-6.04,3.299,-9.59,5.318,-8.326,1.543,-8.498,0.823
"As Twitter pursues the goal of elevating citizen journalism, media elite will try everything to stop that from happening",0,0,0,0,0.0324,0.4843,0.4833,2.059,-2.333,0.001,0.124,1.151,2.077,-0.081,6.081,-2.967,15.94,-4.155,4.179,-3.051,8.404
": In pursuit of our mission, today we are opening up our EV connector design →",0,0,0,1,0.685,0.0029,0.3121,-0.415,-1.277,0.001,0.373,4.185,0.305,5.168,-0.276,5.847,1.887,6.166,0.383,5.463,-0.953
: Happy Veterans Day to all those who have served!,0,0,0,1,0.9787,0.004,0.0172,0.992,-0.778,0.001,0.157,-0.384,-1.969,-1.705,-1.128,-3.122,-0.251,-4.436,0.452,-3.526,-0.464
Perché Starlink di Elon Musk può diventare un'opportunità per l'Italia [di Andrea Stroppa] Sìì!,0,0,1,0,0.2665,0.0394,0.6941,-2.47,1.265,0.002,0.087,-1.788,6.324,-3.682,11.359,-3.79,10.139,-2.886,3.352,-4.459,5.625
: Model S received the highest overall score from Euro NCAP among any vehicle tested under the current protocol →,1,0,0,1,0.8636,0.0025,0.1339,2.44,-1.417,0.001,0.174,0.994,-0.717,1.296,-1.836,0.921,-1.73,-0.768,0.578,-2.645,-0.162
"New Twitter policy is freedom of speech, but not freedom of reach. Negative/hate tweets will be max deboosted & demonetized, so no ads or other revenue to Twitter. You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet.",0,0,0,0,0.0127,0.6529,0.3344,1.536,1.034,0.001,0.462,0.512,-1.009,-0.05,-0.625,0.25,-0.79,0.05,-0.529,-0.593,-0.355
"Hope all judgy hall monitors stay on other platforms – please, I’m begging u",0,0,0,0,0.1421,0.4674,0.3906,0.585,-2.085,0.001,0.29,-2.053,1.457,-2.343,-0.685,-1.332,-1.632,1.892,1.525,0.173,-0.806
Fanaticism is always a function of repressed doubt – Dune,0,0,0,0,0.0372,0.3783,0.5845,-2.474,2.038,0.002,0.555,-2.275,0.102,-3.056,0.935,-2.327,0.212,-2.144,0.014,-2.515,-0.449
"Oh they’ll be back on Twitter, if they even actually left. This platform is like pharmaceutical-grade crack to them.",0,0,0,0,0.0484,0.6604,0.2912,0.31,1.804,0.001,0.104,-1.159,-4.999,-0.748,-0.616,-0.331,-0.208,-0.273,-2.352,1.012,2.685
Experience: what you get when you didn’t get what you wanted - Igor,0,0,0,0,0.0696,0.2756,0.6547,-2.723,2.106,0.001,0.161,-2.57,2.047,-2.103,1.839,-3.05,-0.024,-3.905,4.994,-3.335,0.908
"Should Twitter offer a general amnesty to suspended accounts, provided that they have not broken the law or engaged in egregious spam?",0,0,0,0,0.0362,0.2181,0.7457,1.248,-1.998,0.001,0.481,-0.763,-0.354,0.209,-0.203,-0.303,-1.17,-1.07,-1.12,-3.389,0.19
"World Cup traffic hit almost 20,000 tweets per second today! Great work by Twitter team managing record usage.",0,0,0,0,0.9684,0.0026,0.029,2.067,2.325,0.002,0.399,2.379,1.155,3.78,5.705,4.376,2.603,4.025,0.844,4.306,0.126
Apple has mostly stopped advertising on Twitter. Do they hate free speech in America?,0,0,0,0,0.0083,0.8346,0.1571,-1.771,-1.051,0.001,0.235,-1.768,-1.74,-3.363,0.822,-3.806,-1.549,-4.16,-2.047,-3.863,-2.244
"During Covid, Apple demanded our apps filter some search terms from being returned. If we did not filter the terms, our apps would not be allowed in the store. Apple may make good products, but they have been opposed to free speech for some time. Who else has Apple censored?",0,0,1,0,0.0135,0.7261,0.2605,-2.645,-2.418,0.001,0.21,-7.675,6.205,-6.791,1.074,-4.587,1.959,-7.036,0.736,-7.252,0.197
Fortnite made a 1984 parody video calling out Apple's monopoly. Accurate,0,0,1,0,0.1316,0.3161,0.5524,-2.082,-1.247,0.001,0.347,-0.227,-0.537,-0.975,-0.389,-0.859,-0.65,1.194,0.588,3.229,0.535
Apple should publish all censorship actions it has taken that affect its customers,0,0,0,0,0.0217,0.4221,0.5562,1.292,-0.627,0.001,0.285,0.031,-1.519,-0.85,-0.722,-0.094,-1.361,-0.215,-0.333,0.345,-1.062
"Apple has also threatened to withhold Twitter from its App Store, but won’t tell us why",0,0,0,0,0.0134,0.6837,0.3029,-1.548,0.567,0.0,0.27,-12.64,5.003,-7.771,5.166,-8.925,1.382,-11.64,2.481,-9.938,2.074
Apple takes a 30% tax from app developers who make over $1 million through the ‌App Store‌ on an annual basis. Apple's App Store is the equivalent to a 30% tax on the Internet. Did you know Apple puts a secret 30% tax on everything you buy through their App Store?,0,0,1,0,0.2,0.0843,0.7157,-2.403,-2.684,0.001,0.302,-3.011,0.691,-3.946,2.004,-6.778,3.226,-7.489,0.81,-7.615,0.899
: apple should be more transparent about their processes and probably not have such a monopoly,0,0,0,0,0.0531,0.3781,0.5688,-0.34,-1.392,0.0,0.179,-2.596,-1.776,-4.071,-2.175,-5.544,-1.808,-3.957,0.117,-3.026,0.032
: Falcon 9 is vertical on pad 40 in Florida ahead of launch of the HAKUTO-R Mission 1 – the first privately-led Japan…,0,0,0,1,0.1658,0.005,0.8292,1.746,-1.317,0.001,0.179,-0.395,-2.546,0.251,-2.546,-1.578,-0.597,-4.321,1.998,-3.621,-1.641
"As a reminder, tap the stars icon on upper right of screen to switch between latest people you follow and recommended tweets",0,0,0,0,0.1514,0.0102,0.8384,0.708,-1.238,0.002,0.225,1.659,0.904,1.921,-1.237,2.135,-1.747,1.04,-1.432,0.431,-1.314
Lot of people stuck in a damn-that’s-crazy ChatGPT loop 🔁,0,0,0,0,0.0101,0.8928,0.0971,-0.119,-1.827,0.0,0.403,0.709,-1.084,-10.509,-0.372,-15.521,0.357,-13.864,0.722,-13.202,1.013
"I meet so many people who read twitter every day, but almost never tweet. If I may beg your indulgence, please add your voice to the public dialogue!",0,0,0,0,0.1351,0.303,0.5618,-1.94,-1.521,0.001,0.156,-3.718,3.562,-3.479,0.914,-2.491,-2.434,-3.439,-0.267,-2.853,1.648
": Thank you for joining our live stream to hear about the progress the team has made in the last year. In case you missed it,…",0,0,0,1,0.9642,0.0015,0.0343,1.796,1.991,0.002,0.422,0.817,-0.875,0.784,-0.685,1.28,-0.861,2.306,5.38,1.544,-0.599
"You know Twitter is being fair when extremists on far right and far left are simultaneously upset! Twitter aims to serve center 80% of people, who wish to learn, laugh & engage in reasoned debate. ❤️",0,0,0,0,0.7162,0.0369,0.2468,2.586,1.671,0.001,0.319,1.615,0.904,1.457,-0.83,1.359,-0.93,2.529,1.19,2.895,0.667
"Hate speech impressions (# of times tweet was viewed) continue to decline, despite significant user growth! will publish data weekly. Freedom of speech doesn’t mean freedom of reach. Negativity should & will get less reach than positivity.",0,0,0,0,0.0097,0.8489,0.1414,0.959,-1.837,0.0,0.212,1.692,1.678,-0.592,1.17,-2.176,-0.449,-0.826,-1.425,0.559,-2.153
Twitter is now serving almost 90 billion tweet impressions per day! Just how incredibly alive the system actually is will become obvious as we show view count on all tweets.,0,0,0,0,0.7369,0.0312,0.2319,2.382,1.914,0.001,0.128,1.414,-0.349,2.168,-1.498,2.215,4.88,7.587,21.349,6.032,5.848
"Major Twitter system improvements were implemented this week to drop hammer hard on spam/scam accounts. Taking just past 24 hours, does it seem like there are far fewer?",0,0,0,0,0.273,0.1795,0.5475,2.24,2.112,0.001,0.336,0.62,-0.546,1.566,1.227,2.331,1.775,2.331,0.106,2.613,-1.117
What really happened with the Hunter Biden story suppression by Twitter will be published on Twitter at 5pm ET!,0,0,0,0,0.0277,0.0691,0.9031,-0.949,-0.063,0.0,0.219,1.71,2.218,1.174,0.699,2.977,1.662,3.188,3.765,3.399,0.109
": Starlink started providing high-speed, low-latency internet to passengers during flights on the first jet this week! ht…",0,0,0,1,0.6728,0.0028,0.3244,-2.16,1.08,0.0,0.25,-0.415,-0.023,5.191,3.249,-1.017,1.827,3.849,0.835,1.164,1.098
"If the Fed raises rates again next week, the recession will be greatly amplified",0,0,0,0,0.0186,0.7973,0.1841,-0.959,1.121,0.001,0.469,0.015,-0.3,1.358,0.434,1.557,-0.366,0.543,-0.586,0.783,-0.756
"THREAD: THE TWITTER FILES PART FIVE. THE REMOVAL OF TRUMP FROM TWITTER. Under pressure from hundreds of activist employees, Twitter deplatforms Trump, a sitting US President, even though they themselves acknowledge that he didn’t violate the rules:",0,0,1,0,0.0183,0.4587,0.523,0.518,0.639,0.001,0.026,0.082,-0.827,-2.19,71.152,-3.823,12.645,-2.181,3.78,-3.972,-9.448
": Giga Texas hits 3k Model Y builds/week. Congrats, Tesla team! 🤘",1,0,0,1,0.9822,0.002,0.0158,2.566,1.967,0.001,0.169,3.817,2.547,3.368,4.075,4.377,3.294,2.264,0.006,5.196,1.671
: Ship 24 completes a single-engine static fire test at Starbase in Texas,0,0,0,1,0.0335,0.0129,0.9536,-1.793,-0.529,0.0,0.192,1.981,1.002,2.427,-1.552,3.324,0.75,7.18,-0.154,8.848,1.164
"Meanwhile, Twitter usage (by real humans) once again reaches all-time highs",0,0,0,0,0.4771,0.035,0.4879,-0.256,-1.259,0.001,0.206,-0.486,-0.464,-0.742,0.35,-1.531,-0.661,-0.358,0.336,-1.765,-0.79
So inspiring to see the newfound love of freedom of speech by the press 🥰,0,0,0,0,0.9829,0.0028,0.0143,-2.316,1.771,0.001,0.3,-1.685,1.332,-1.872,1.001,-1.61,-0.398,-2.582,1.237,-2.732,9.878
: 1. TWITTER FILES: PART 7 The FBI & the Hunter Biden Laptop How the FBI & intelligence community discredited factual…,0,0,0,1,0.0162,0.49,0.4938,-2.226,1.525,0.003,0.522,-0.751,0.305,-1.253,0.234,-1.279,-0.825,-1.755,-0.655,-1.279,0.112
": Starlink now has more than 1,000,000 active subscribers – thank you to all customers and members of the Starlink team who contr…",0,0,0,1,0.9705,0.0019,0.0276,-1.19,-0.961,0.001,0.282,-0.59,-0.913,-0.713,-0.534,3.555,1.766,2.884,0.749,4.164,0.606
: Every Tesla has an electronic powertrain that provides instant torque control—enabling more control & stability in winter condit…,1,0,0,1,0.289,0.0131,0.6979,-1.882,-0.258,0.002,0.94,0.469,-0.555,0.565,-0.673,0.764,-0.796,0.4,-0.782,-0.248,-0.604
"We need a new Church Commission to investigate why the FBI and Intelligence Community are engaged in social media censorship, including the suppression of the Hunter Biden story. Hear, hear!!",0,0,1,0,0.0264,0.5191,0.4546,0.34,-0.855,0.001,0.185,-3.165,0.081,2.558,1.678,2.823,1.45,3.634,0.422,1.685,1.922
Newspapers just search the Internet and print it out – SJM,0,0,0,0,0.0481,0.0558,0.8961,-1.354,0.579,0.001,0.147,1.705,1.107,1.792,-1.678,2.173,9.253,2.061,3.535,-0.084,1.677
"1. TWITTER FILES PART 8 *How Twitter Quietly Aided the Pentagon’s Covert Online PsyOp Campaign* Despite promises to shut down covert state-run propaganda networks, Twitter docs show that the social media giant directly assisted the U.S. military’s influence operations. Yikes!",0,0,1,0,0.0105,0.7387,0.2508,2.027,-0.171,0.001,0.199,2.428,-0.528,3.261,1.428,3.069,0.108,2.941,0.394,-0.771,2.093
"Twitter is rolling out View Count, so you can see how many times a tweet has been seen! This is normal for video. Shows how much more alive Twitter is than it may seem, as over 90% of Twitter users read, but don’t tweet, reply or like, as those are public actions.",0,0,0,0,0.7544,0.0089,0.2367,2.285,-0.725,0.002,0.454,0.715,-1.048,0.071,-0.781,0.599,-1.209,0.817,-1.241,0.892,-1.442
"An amendment by Sens Sinema & Tester is designed to ensure a porous border. A wolf in sheep's clothing to mislead the American people to believe Dems are doing something to secure our borders. It merely provides them cover to vote against my extension of Title 42 protections. Is this true, and ?",0,0,1,0,0.0084,0.8103,0.1813,2.708,2.311,0.002,0.249,1.12,0.346,0.762,-0.963,1.989,0.024,2.695,1.261,2.223,0.775
"Model Y just broke the bestselling car record in Norway, held since 1969 by the Beetle! 🇳🇴 Congratulations Tesla Team!!",1,0,1,0,0.9818,0.002,0.0162,1.948,-1.495,0.001,0.218,3.896,1.345,5.412,1.438,2.789,0.954,4.271,0.161,6.225,2.106
Falcon 9 launches 54 Starlink satellites to low-Earth orbit; completes SpaceX’s 60th mission of 2022! Congratulations SpaceX Falcon team on 60 successful launches this year!!,0,0,1,0,0.9756,0.0018,0.0227,-2.289,-0.536,0.004,0.247,0.011,-0.996,0.674,-0.87,1.106,-1.572,0.243,-1.778,1.743,-0.646
SpaceX Falcon 🚀 team is making excellent progress – aiming for 60 launches this year! They did it!,0,0,1,0,0.9859,0.0025,0.0116,-2.149,-2.289,0.0,0.133,-5.697,-0.991,-1.929,4.642,-0.991,-0.222,-4.498,-1.253,-6.388,1.171
"New Twitter policy is to follow the science, which necessarily includes reasoned questioning of the science",0,0,0,0,0.2551,0.0171,0.7278,0.85,-1.36,0.001,0.372,2.274,2.433,2.505,-0.134,0.744,0.346,0.744,-0.941,4.205,0.366
"New Twitter navigation coming in Jan that allows swiping to side to switch between recommended & followed tweets, trends, topics, etc. Until then, tap stars icon on upper right of home screen to switch.",0,0,0,0,0.2076,0.0061,0.7863,0.453,1.018,0.0,0.381,-3.316,-0.003,-2.229,-0.442,-3.467,-0.754,-2.028,0.562,-1.142,-0.252
: Watch Falcon 9 launch 114 spacecraft to orbit →,0,0,0,1,0.121,0.0062,0.8727,2.392,1.751,0.003,0.328,2.273,0.409,2.157,0.574,2.061,0.694,1.655,-0.668,0.232,0.343
