whole_text,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_t1_z,volume_t1_z,close_t2_z,volume_t2_z,close_t3_z,volume_t3_z,close_t4_z,volume_t4_z,close_t5_z,volume_t5_z
"Important technical note: due to higher O/F of CH4 vs RP1 (oxygen is dense) & significant density increase of subcooled CH4 (plus no common dome insulation needed), plus cryo strength bump of CH4, tank mass of CH4/O2 stage is almost same as RP1/O2.",0,1,0,0,0.089,0.0843,0.8266,-2.203,1.631,0.001,0.294,0.744,-0.962,1.371,-1.063,1.76,-0.938,1.374,-0.725,1.386,-1.288
Tesla factory workplace safety is 5% better than industry average for manufacturers & improving fast,1,1,0,0,0.8857,0.0124,0.1019,0.883,1.734,0.001,0.275,2.022,-1.295,3.52,2.771,1.326,2.009,1.539,0.153,2.236,-0.244
"Also, insulation of a deep cryogen( which I’d call anything that liquifies nitrogen aka 78% of air) is heavy & prone to heat leaks. H2 is hell.",0,1,0,0,0.0104,0.8692,0.1204,0.249,0.629,0.001,0.387,0.217,-1.202,-0.045,-1.482,-1.187,-1.246,-0.864,-1.791,-0.67,-1.968
"Hundreds of improvements in manufacturability primarily (this is by far the hardest problem), mass down, thrust up, Isp up. Current improvement list continues past SN50. As the saying goes, it’s 1% inspiration & 99% perspiration …",0,1,0,0,0.4742,0.0602,0.4656,1.328,-2.435,0.001,0.43,3.706,1.367,4.689,1.732,4.42,2.11,6.753,10.221,8.332,1.962
"Acceptable, if your drivetrain is very efficient & you add a little manga",0,0,0,0,0.6296,0.0163,0.3541,-2.055,0.479,0.001,0.436,0.37,-0.049,-0.561,-0.532,-1.204,-0.847,-2.377,0.427,-2.453,0.106
"Directionally correct, but Zenit is an order of magnitude smaller than Starship system & doesn’t come back & land",0,0,0,0,0.0495,0.3327,0.6178,-0.064,0.367,0.0,0.396,3.095,1.51,4.551,0.149,3.281,0.84,3.485,-0.167,3.249,-1.332
"Tesla has an option to purchase this land, but has not exercised it",1,1,0,0,0.021,0.259,0.72,-2.059,-1.232,0.001,0.327,-0.553,0.962,-1.318,-0.23,-2.177,0.664,-1.386,0.507,-0.254,0.45
Juneteenth is henceforth considered a US holiday at Tesla & SpaceX,1,0,0,0,0.1039,0.0221,0.8741,-2.142,-0.902,0.0,0.457,-4.107,-0.726,-4.641,-1.007,-2.769,-0.074,-2.249,0.796,-3.893,-1.531
"It does require use of a paid-time-off day, which is true of many other holidays",0,1,0,0,0.0821,0.0672,0.8506,1.426,-1.708,0.0,0.363,1.458,-1.008,1.747,2.745,2.951,1.706,3.495,2.656,0.8,0.494
"Exactly! A carbon tax is needed to correct the unpriced externality & market will do the rest. The consequences of slow action are serious. In my opinion, we need to convert >80% of the global road, sea & air fleet to renewables by 2050.",0,0,0,0,0.0367,0.6401,0.3232,-1.076,0.046,0.001,0.578,-1.243,0.329,-3.539,-0.161,-3.159,0.082,-3.372,0.319,-3.38,-0.295
"Tesla Impact Report (repost). We do everything humanly possible to source materials & produce sustainable energy cars, batteries & solar ethically. Suggestions for improvement are always appreciated.",1,0,0,0,0.5223,0.0295,0.4482,1.541,-2.364,0.001,0.218,-0.29,1.438,1.794,6.039,1.495,0.568,0.297,0.093,-2.07,5.953
Lithium is common. Hard part is turning lithium salt or clay into extremely pure LiOH.,0,1,0,0,0.0631,0.2484,0.6885,-1.216,-0.025,0.0,0.378,1.7,0.389,0.947,0.204,3.352,0.094,2.902,2.228,9.298,7.054
"Something’s messed up about medicine that’s anti-science. In science, you question everyone, no matter who they are. Facts & reasoning are everything, but in medicine too much emphasis is on credentials, often by people who’ve accomplished nothing but a PhD thesis used by no one.",0,1,0,0,0.01,0.8146,0.1754,2.367,-0.112,0.001,0.38,-0.486,-1.502,-0.264,-1.869,-1.777,0.451,-1.28,-1.247,-3.739,1.388
"You cherry-picked one state out of fifty, which saw a minor uptick. Show the whole country.",0,1,0,0,0.0298,0.6019,0.3682,0.284,-0.843,0.001,0.518,-0.974,-0.292,-0.433,-0.343,-1.893,-1.16,-2.318,0.088,-3.098,-1.136
Make sure to read ur terms & conditions before clicking accept!,0,1,0,0,0.1471,0.0594,0.7934,1.665,0.061,0.001,0.579,0.294,-0.564,-4.942,1.501,-6.404,1.86,-3.988,0.308,-4.603,0.234
"True, it sounds so surreal, but the negative propaganda is still all out there & easy to find in social media & press interviews, so it’s not just our imagination!",0,0,0,0,0.0156,0.8086,0.1759,2.197,-1.764,0.001,0.471,4.546,0.252,4.204,-0.295,6.197,-0.142,4.568,0.075,4.392,-1.083
Berlin Model Y is the one to watch. That is a revolution in automotive body engineering (finally).,1,1,0,0,0.9699,0.0025,0.0277,2.701,1.941,0.002,0.245,1.137,-1.948,0.661,-2.064,0.206,-0.645,0.842,-1.726,2.201,-0.71
Probably a good one to design & engineer in Germany,0,1,0,0,0.7185,0.0117,0.2697,1.424,1.8,0.002,0.259,2.743,3.12,4.037,2.382,4.84,4.454,5.243,2.656,5.976,5.972
Earning power post augmentation would easily pay for itself (if that’s even necessary). This is the best thing I can think of to ensure that collective human will decides the future.,0,1,0,0,0.7869,0.0211,0.192,-1.218,-1.744,0.002,0.243,1.627,-0.754,1.42,0.581,-0.311,0.279,0.854,-1.185,-1.544,1.719
"Well, I do care very much about sustainability of civilization, but there is some truth to the irony part haha",0,1,0,0,0.3086,0.1878,0.5037,-2.35,1.86,0.007,0.464,-2.14,1.065,-2.578,0.217,-2.124,0.735,-1.289,0.465,-0.765,1.076
"Mass to orbit is a more accurate metric than # of launches, although should be orbit-adjusted (eg GTO>LEO), which would increase competitor mass numbers",0,1,0,0,0.1771,0.0764,0.7466,-0.843,-2.639,0.001,0.414,-3.542,1.372,-5.281,2.943,-5.693,0.64,-3.947,-0.632,-4.207,-1.013
"To revolutionize space, the right metric is mass to orbit or you could translate that to # of useful satellites brought to orbit. No substitute for mass though. Scale don’t lie.",0,1,0,0,0.3432,0.0518,0.605,2.333,1.293,0.003,0.417,0.882,-1.684,1.493,-1.143,1.059,-1.553,0.372,-1.147,0.333,-0.91
"We’re rapidly changing alloy constituents & forming methods, so traditional names like 304L will become more of an approximation",0,1,0,0,0.059,0.0979,0.8431,2.513,2.067,0.002,0.737,3.539,2.191,2.556,0.681,2.3,0.391,1.108,0.467,1.737,0.029
"Especially for boost stage, which is volumetrically constrained, CH4 is way better than H2. Soviet CH4 engine prototypes from 80’s were very advanced. Glad to see reusability is being factored in.",0,1,0,0,0.9525,0.0087,0.0389,2.683,-1.603,0.003,0.242,0.575,-0.87,0.254,-1.864,-1.266,-0.4,-1.084,1.292,-1.498,-1.079
Another government stimulus package is not in the best interests of the people imo,0,0,0,0,0.0164,0.7863,0.1973,2.74,0.062,0.003,0.181,1.752,-0.538,1.867,-0.142,0.245,0.597,0.929,0.721,0.93,-0.537
"These are jammed to gills with special interests earmarks. If we do a stimulus at all, it should just be direct payments to consumers.",0,1,0,0,0.0186,0.6973,0.2841,2.493,2.011,0.005,0.238,1.681,-0.28,1.445,-1.151,0.111,0.039,-0.146,0.244,-0.578,-0.199
"Something like that. If politicians could legislate wealth, everyone would be a trillionaire.",0,0,0,0,0.1377,0.3453,0.517,-1.001,2.237,0.003,0.278,-0.937,-1.321,-0.775,-2.043,-0.381,-2.439,0.784,-1.645,0.675,-2.007
[slow drag on cigarette) Facebook? Haven’t heard that name in years …,0,1,0,0,0.0358,0.5257,0.4385,1.787,0.867,0.003,0.617,2.114,0.946,1.931,0.002,1.464,-0.691,1.828,-0.621,1.615,-0.464
What I like most is their great sense of humor,0,1,0,0,0.9707,0.0039,0.0254,2.011,1.031,0.004,0.796,0.848,0.742,1.275,-0.519,0.979,-0.574,0.335,-0.095,0.785,-0.561
They don’t fire all at once. Some go several seconds to minutes without firing. Some fire several times per second. Very wide timing distribution.,0,1,0,0,0.0435,0.1498,0.8067,0.104,-2.602,0.0,0.596,0.261,-0.653,3.471,-0.201,5.637,0.272,14.692,4.643,11.172,1.764
Will show neurons firing in real-time on August 28th. The matrix in the matrix.,0,1,0,0,0.0879,0.0106,0.9015,1.196,-0.091,0.001,0.583,-1.978,-0.793,-2.947,-0.738,-4.147,-0.588,-5.839,0.829,-5.934,0.665
"Yes, should be possible to create a neural shunt from motor cortex to microcontrollers in muscle groups & restore movement even if someone has a fully severed spinal cord. First part has already been demonstrated with Utah array, but not as an outpatient device.",0,0,0,0,0.121,0.0485,0.8305,-1.376,0.845,0.001,0.131,-0.299,-2.483,0.105,-2.181,-0.015,3.188,-0.592,-1.689,-1.663,-2.061
"Neuralinks are currently meant for mature brains & functionality is lost if removed. Rewiring of neurons is certainly possible, but won’t make up for loss of the Link.",0,0,0,0,0.0185,0.4986,0.4829,-0.991,-2.059,0.0,0.158,-10.722,5.361,-8.264,4.045,-4.134,2.96,0.7,3.86,0.388,1.061
Yes. Could also extend range of hearing beyond normal frequencies and amplitudes. Deus Ex.,0,1,0,0,0.644,0.0064,0.3496,2.419,-2.04,0.001,0.163,-0.848,-2.536,-0.925,-2.115,-0.875,-3.23,0.122,-3.118,-0.26,-3.569
"The Great Pyramid was the tallest structure made by humans for 3800 years. Three thousand, eight hundred years.",0,1,0,0,0.6455,0.0067,0.3478,-1.782,-0.683,0.001,0.315,1.314,-0.767,-0.83,0.764,-0.193,-0.718,0.252,-1.406,1.529,-1.168
"Tbh, I must confess to occasionally pontificating about high-concept things",0,1,0,0,0.2676,0.0996,0.6329,1.064,1.301,0.001,0.359,-2.267,-1.351,-1.646,-0.698,-2.076,-1.664,-1.312,-1.471,-2.085,-2.143
Watch the first prefabricated wall of Tesla Giga Berlin and August progress. - #Tesla #GigaBerlin Good piece on Giga Berlin construction,1,0,1,0,0.752,0.0035,0.2445,-1.966,1.484,0.001,0.31,-0.869,-0.896,0.006,-1.515,0.142,-0.556,2.435,0.011,4.185,0.143
"Apart from failing to quarantine elderly/at-risk people early (a mistake they recognize), they were right",0,1,0,0,0.0305,0.5846,0.3849,-2.142,0.544,0.001,0.563,-1.549,-0.599,-3.037,1.921,-1.932,0.488,-2.574,-0.345,-3.418,-0.946
"Will be amazing to see it in operation! Biggest casting machine ever made. Will make rear body in a single piece, including crash rails.",0,1,0,0,0.9666,0.0032,0.0301,0.635,-1.091,0.001,0.298,-3.322,-0.92,-4.005,-1.368,-8.032,2.914,-7.247,1.785,-4.973,0.5
"Efficiently reusable rockets are all that matter for making life multiplanetary & “space power”. Because their rockets are not reusable, it will become obvious over time that ULA is a complete waste of taxpayer money.",0,1,0,0,0.0571,0.6437,0.2992,1.429,-0.03,0.0,0.448,-1.856,-0.625,-1.649,0.132,-1.313,-1.183,-3.054,-0.844,-1.895,-1.14
I generally try my best not to be on patents,0,1,0,0,0.1889,0.1849,0.6263,1.925,-2.485,0.001,0.764,-1.368,-0.622,-4.668,0.328,-3.178,0.296,-3.162,-0.638,-3.512,-0.318
Nobody would suggest buying airplanes that only fly once & then crash into the ocean. That would be absurd …,0,1,0,0,0.0121,0.825,0.1628,-0.642,-1.716,0.001,0.391,3.298,0.52,2.526,0.135,1.699,-0.657,1.559,-1.314,1.371,-0.782
You are correct. This is a substantial underpayment compared to what ULA has received.,0,1,0,0,0.0602,0.3004,0.6395,0.814,-0.231,0.001,0.384,0.065,-0.964,0.5,-1.262,3.207,1.669,5.064,0.404,4.546,-0.114
"The rate of improvement from original GPT to GPT-3 is impressive. If this rate of improvement continues, GPT-5 or 6 could be indistinguishable from the smartest humans. Just my opinion, not an endorsement. I left OpenAI 2 to 3 years ago. Am a neutral outsider at this point.",0,0,0,0,0.8765,0.0151,0.1084,-0.812,-0.346,0.0,0.217,-2.02,0.541,-3.881,7.894,-6.724,4.376,-4.944,2.038,-6.911,1.302
"H2O, CH4/CO2, N2, iron, nickel, chrome, aluminum (not necessarily in that order) will matter far more than gold or platinum for space travel",0,1,0,0,0.1234,0.1715,0.7051,-2.499,2.743,0.001,0.504,-4.818,4.413,-3.777,1.816,-5.609,1.816,-4.09,2.286,-2.653,1.975
"Significant improvements coming to S/X air suspension soon via software update! Will simultaneously improve performance handling & ride comfort & enable user customization of height & damping, geocoded for relevance.",0,1,0,0,0.9292,0.0032,0.0675,1.945,0.687,0.001,0.498,0.798,-0.363,2.319,-0.039,1.432,-0.978,1.966,0.033,1.445,-0.735
JESUS and just putting their hands in our wallets at this point More fun games coming soon to ur Tesla,1,0,1,0,0.6479,0.0372,0.315,0.198,0.058,0.001,0.353,-0.591,-0.124,0.004,0.275,-1.002,-0.758,-1.583,-0.939,-1.851,-0.843
"Starship/Super Heavy, which is ~10X mass of Zenit, will mostly launch from ocean spaceports long-term",0,1,0,0,0.2297,0.0124,0.7578,-0.94,-2.593,0.001,0.362,-0.851,-0.399,-2.109,-0.092,-2.668,0.244,-2.232,-0.219,-0.559,0.193
"No, we’re focused on developing new products & scaling production",0,1,0,0,0.2121,0.0301,0.7578,0.161,-1.847,0.0,0.375,5.921,2.79,6.023,7.116,6.957,0.383,29.542,37.653,27.639,26.201
"Good chance something will slip, but, yeah, Sunday is intense",0,1,0,0,0.0829,0.505,0.412,-1.118,-1.207,0.003,0.208,-2.428,1.379,-3.474,2.108,-2.93,-0.638,-2.004,-0.644,-1.036,0.04
"“All of physics is either impossible or trivial. It is impossible until you understand it, and then it becomes trivial.” E Rutherford",0,0,0,0,0.1701,0.1973,0.6326,2.25,-2.103,0.001,0.276,5.556,2.845,9.983,2.87,9.022,0.601,7.702,-0.465,8.423,0.229
"If you ever want to build a long accelerator tunnel, straight or circular, I know some people …",0,1,0,0,0.1087,0.1015,0.7897,-1.255,-2.232,0.001,0.291,-0.551,-1.147,-1.408,-1.687,-1.285,-2.028,-1.04,-1.065,-0.834,-0.475
"All Tesla workers also get stock, so their compensation increased proportionately. You are a modern day moron.",1,1,0,0,0.0766,0.5592,0.3642,-0.69,-2.073,0.002,0.039,-3.897,-1.041,-3.696,-2.424,-5.334,4.017,-4.951,1.623,-4.331,1.66
Many exciting things will be unveiled on Battery Day 9/22 ⚡️,0,0,0,0,0.9849,0.0015,0.0136,-2.166,-2.554,0.002,0.184,6.057,12.438,7.461,8.769,6.325,5.974,6.375,1.713,4.236,2.661
Seems like they should make a whole outfit out of that material,0,1,0,0,0.1299,0.2127,0.6574,2.804,-2.244,0.0,0.232,-5.031,0.76,-11.637,0.275,-35.38,9.756,-31.729,3.972,-24.63,0.835
"Definitely not. Smartwatches & phones are yesterday’s technology, Neuralinks are the future.",0,1,0,0,0.231,0.1578,0.6113,0.873,-0.846,0.0,0.153,-4.233,-1.106,-2.156,0.715,-7.712,-1.163,-7.694,-1.781,-6.578,-3.148
There are some eerie parallels between The Boring Company & Vault-Tec. We also built our first demonstration tunnel/vault in LA.,0,0,0,0,0.0986,0.0443,0.8572,-2.315,2.24,0.002,1.258,-0.342,-0.513,-1.641,-0.516,-0.8,-0.495,-1.186,-0.627,-2.331,-0.314
"It’s cool & for sure can & should be done, but I suspect its best case will be more costly than wind & solar (aka big fusion reactor in sky)",0,1,0,0,0.3098,0.19,0.5001,1.005,-1.564,0.001,0.246,4.605,3.958,6.406,2.063,4.978,1.651,5.768,0.901,5.696,0.897
The new heat pump in Model Y is what really makes the difference in cold weather,1,1,0,0,0.6877,0.02,0.2923,-0.385,-2.563,0.0,0.482,-3.176,-0.596,-3.04,-0.111,-1.784,-0.767,0.584,-0.237,1.251,-0.039
"Cryo pressure test succeeded, but a small leak opened up near the engine mounts, possibly due to differential shrinking",0,1,0,0,0.04,0.3793,0.5807,-2.69,-0.633,0.001,0.153,-2.62,-0.002,-1.759,-2.525,-2.1,-2.635,-1.689,-2.609,-0.39,-0.067
"7 bar absolute, which is fine for flight. This was a proof test, rather than a burst test. We’ll hopefully fix the leak today & retest.",0,1,0,0,0.3506,0.052,0.5974,0.71,0.47,0.001,0.238,-2.678,3.545,-4.823,3.534,-4.356,0.735,-3.728,-0.645,-6.199,1.082
I do so wish that more companies would put down their spreadsheets for a moment and focus on making products that move your heart,0,1,0,0,0.4438,0.1619,0.3944,1.818,-0.015,0.002,0.544,0.057,-0.678,0.65,-0.919,0.247,-1.016,-0.073,-1.183,0.446,-1.087
"Prototypes are a piece of cake, but high volume production of a new technology is extremely hard. Takes much longer than people think to climb the production S-curve. I can’t emphasize enough that production is by *far* the hard part.",0,1,0,0,0.049,0.6871,0.2639,2.203,-2.182,0.001,0.214,2.604,0.637,2.19,-1.787,4.105,-1.609,3.967,-0.563,4.985,2.608
Marginal cost of Starship mass to orbit should be well under $100/kg. Fully burdened cost depends on flight rate.,0,1,0,0,0.0653,0.231,0.7037,2.215,1.576,0.001,0.346,1.789,1.492,0.499,-0.332,0.587,-0.99,0.446,-0.394,0.192,-1.151
"Bringing a new product to volume production is 1% inspiration & 99% perspiration. You do still need that critical seed of inspiration, but it’s fun & takes ~100 people. Production takes >10,000 people & hurts like hell until the gigantic cybernetic collective runs smoothly.",0,1,0,0,0.5792,0.0501,0.3707,2.112,1.145,0.002,0.304,0.902,-1.271,0.942,-1.604,1.758,0.423,1.685,-0.462,1.467,-1.299
"That would be like licensing Battlestar Galactica. Actually building continuously evolving gargantuan factories is the hard part. Lots of people who worked at Tesla Gigafactories now work at competitors, but none of those companies have made one.",1,0,0,0,0.0621,0.3493,0.5886,2.043,2.647,0.001,0.118,2.423,0.053,2.777,2.163,3.034,4.083,2.166,4.066,3.512,4.177
The crash absorption rails can be cut off & replaced with a bolted part for collision repair,0,1,0,0,0.024,0.3384,0.6376,1.645,2.259,0.001,0.337,1.345,0.124,1.707,-0.997,1.644,-0.138,1.043,-0.323,0.255,0.29
"Waymo is impressive, but a highly specialized solution. The Tesla approach is a general solution. The latest build is capable of zero intervention drives. Will release limited beta in a few weeks.",1,1,0,0,0.8844,0.0068,0.1088,-1.528,-0.062,0.001,0.379,0.22,-0.87,0.368,-1.048,0.31,-0.708,1.165,0.407,2.354,0.416
Exactly. We barked up that tree for way too long (sigh). Gives a false sense of victory being close — a tantalizing local maximum — but reality is just too messy & weird. Our new system is capable of driving in locations we never seen even once.,0,1,0,0,0.0229,0.8219,0.1552,-2.416,2.198,0.001,0.687,-1.186,-0.349,-1.857,-0.245,-1.675,-0.177,-0.864,-0.29,-0.078,0.245
Meant to say that it should be fixed in the latest wide release. Won’t need to wait for FSD.,0,1,0,0,0.0897,0.2837,0.6267,-2.517,-1.692,0.0,0.329,-1.655,-0.718,-5.871,-0.227,-6.616,2.512,-6.407,1.338,-6.022,-0.318
Or maybe 2 weak turrets to allow more strategic degrees of freedom,0,1,0,0,0.085,0.098,0.817,-0.404,-1.516,0.001,0.305,1.559,0.437,2.89,1.418,4.351,1.54,4.068,1.116,4.27,1.238
Motor Trend awards Tesla Model S best Car of the Year ever in their 70 year history!! møtør trèndé,1,1,1,0,0.9656,0.0028,0.0316,-2.031,-2.637,0.0,0.236,-1.643,0.157,-3.085,0.043,-2.616,0.124,-2.152,0.545,-1.504,-1.106
"Just a small-seeming issue with loss of upper stage camera. Probably nothing serious, but standing down to re-examine whole vehicle just in case.",0,1,0,0,0.034,0.3823,0.5837,0.117,-0.065,0.0,0.324,-6.135,3.547,-5.819,-0.189,-8.567,0.051,-8.451,1.023,-8.961,-0.223
Great pics! That we now have the beginnings of a Starship production system is most meaningful.,0,1,0,0,0.9848,0.0019,0.0132,2.784,2.107,0.001,0.272,1.9,1.455,4.417,4.959,6.298,7.688,6.579,6.649,7.409,2.913
Starship Full Flight Animation. Co-created with the brilliant ! #SpaceX #Starship Very close to actual expected flight!,0,0,1,0,0.9547,0.0015,0.0439,-2.627,1.02,0.002,0.502,-0.744,0.093,-1.831,-1.006,-2.498,-0.641,-1.464,-0.421,-1.916,-1.036
"That funding round completed 6pm on Christmas Eve in 2008. Last hour of last day possible, as investors were leaving town that night & we were 3 days away from bankruptcy. I put in all money I had, didn’t own a house & had to borrow money from friends to pay rent. Difficult time.",0,1,0,0,0.0431,0.3587,0.5981,2.595,-1.16,0.002,0.207,-0.088,-2.976,0.436,-1.585,0.5,-2.871,1.964,3.448,2.169,-1.39
"I put in my last money, even though I thought we would still fail. But, it was either that or certain death for Tesla. Extremely difficult to raise money for an electric car startup (considered super quirky back then), while stalwarts like GM & Chrysler were going bankrupt.",1,1,0,0,0.0117,0.8677,0.1206,2.132,-0.092,0.002,0.619,-0.237,-0.675,-0.921,-0.724,-2.035,-0.534,-2.492,-0.017,-1.758,-0.488
"Yes, although I didn’t expect the stock to rise so much so soon. The reason for the stock options is that they’re needed to help pay for humanity to get to Mars in 10 to 20 years.",0,1,0,0,0.165,0.0987,0.7362,-0.377,-1.404,0.001,0.512,3.721,0.43,5.638,0.741,11.287,4.185,16.125,5.789,18.466,2.862
"Yeah, that will be relatively easy, as so few users out in the ocean",0,1,0,0,0.5894,0.0299,0.3807,-1.571,-0.982,0.0,0.475,-1.026,-1.034,-0.682,-0.662,0.03,-0.679,1.037,-0.376,0.68,-0.758
Thanks to a lot of great Autopilot/AI hardware & software engineers at Tesla!,1,1,0,0,0.9829,0.0027,0.0144,-2.478,1.257,0.003,0.389,-0.636,0.564,-0.798,-0.338,-1.031,-0.87,-1.044,-1.34,-1.221,-0.916
"Yes, you can have my damn cookie! should be a browser setting",0,0,0,0,0.077,0.6475,0.2755,-1.472,1.662,0.001,0.243,0.258,0.034,0.942,-2.235,1.334,-0.074,-0.547,0.533,-1.417,-0.158
4 Astronauts fly to on Sat night from Cape. First operational flight of Crew Dragon.,0,0,0,0,0.0758,0.0045,0.9197,2.235,-1.136,0.001,0.206,-2.427,2.502,-3.109,1.296,-1.353,0.903,-1.669,-1.942,-2.301,-1.345
What is the general population (no knowledge of symptoms) accuracy of a sars-cov2 PCR test & is it possible to generate a false positive if you simply run enough cycles?,0,0,0,0,0.019,0.4239,0.5571,0.322,-0.699,0.001,0.344,-1.879,-0.547,-2.012,0.67,-3.921,-0.435,-5.239,-1.026,-4.463,-1.253
"Would be great to hear from people who know a lot about the PCR testing industry. What’s the approximate false positive rate, all things considered, for cov2 PCR tests?",0,1,0,0,0.3512,0.0458,0.6031,2.489,2.115,0.001,0.344,2.234,1.202,2.648,1.849,2.347,2.436,1.915,0.326,1.896,-0.857
"I’m ok, thanks for asking. No symptoms for past few days, apart from fatigue. Unless something changes, would have to say that it simply felt like a mild cold.",0,0,0,0,0.3267,0.1019,0.5714,2.804,-0.136,0.001,0.368,4.05,4.915,5.372,3.608,3.013,4.664,3.864,1.401,4.598,3.976
Creating synthetic mRNA for cures/vaccines is the future of medicine imo. Turns it (mostly) into a software & modeling problem.,0,1,0,0,0.0538,0.5209,0.4254,-2.281,0.173,0.0,0.504,-1.959,-1.273,-0.072,-0.082,-1.2,-0.84,0.037,-0.513,2.442,0.157
"CureVac, Moderna & a few others. Tesla makes the machine CureVac uses to go from known gene sequence to trillions of lipid-coated mRNA strands.",1,1,0,0,0.1126,0.0131,0.8743,2.721,2.482,0.001,0.384,0.75,-0.475,-0.423,-0.236,-0.515,-1.522,0.236,-0.904,-0.288,-0.568
Our first Merlin engine design was really bad tbh. Nothing worked well & some parts didn’t work at all. 18 years later & thousands of upgrades make it a great GG cycle engine.,0,1,0,0,0.034,0.8597,0.1063,-2.324,1.439,0.003,0.375,-1.506,1.875,-1.882,-0.066,-0.845,1.409,-0.617,0.032,-1.366,-0.027
"Absolutely. Production/testing of rocket engines is over 90% of the problem. This is true in general. For cars, production is over 99% of the problem. That 1% inspiration is very important, but it’s less than 1% of the pain.",0,1,0,0,0.0308,0.7749,0.1943,-1.768,1.038,0.003,0.445,-2.273,0.124,-2.595,0.837,-1.709,0.043,-1.569,-0.776,-1.089,-0.602
The most amazing thing about rocket engines is that they *sometimes* don’t blow up! The amount of power going through them boggles the mind.,0,1,0,0,0.9611,0.0114,0.0275,-1.741,-2.312,0.001,0.265,-2.517,-0.95,-3.035,-0.939,-3.246,-0.5,-3.348,0.215,-3.031,0.427
"Yes, but from a visiting American. Ah, the irony is just too much!!",0,1,0,0,0.0775,0.639,0.2835,1.601,0.065,0.003,0.376,1.518,0.103,1.307,-1.211,0.793,-0.505,0.503,-1.501,0.417,-1.461
"Merlin is a strong local maximum design, but kerosene is suboptimal fuel, no matter what you do. What matters is cost per ton to Mars. CH4 is the only choice imo. Important: O2/CH4 allows OF ratio of ~3.5 vs ~2.5 for kerosene, so ~78% of propellant is oxygen.",0,1,0,0,0.0992,0.3335,0.5673,2.717,-0.358,0.001,0.495,2.916,0.44,1.994,0.55,1.859,0.273,1.393,-1.022,1.82,-1.235
"Yeah, looks like marginal cost of launch will be less than $1M for more than 100 tons to orbit, so it’s mostly about fixed costs divided by launches per year",0,1,0,0,0.0697,0.2451,0.6853,-2.465,1.445,0.002,0.413,-1.512,-0.227,-2.515,2.017,-2.477,0.051,-2.165,0.306,-1.173,0.154
More like he gave it his blessing. It was sort of a groundswell of those who believed in the scientific method in London.,0,1,0,0,0.3179,0.0185,0.6636,-1.638,1.798,0.001,0.533,-5.348,3.245,-4.751,1.367,-5.278,1.404,-5.316,0.249,-7.453,1.15
"I was going to say “Sim!”, but that seemed too obvious haha",0,1,0,0,0.4495,0.1221,0.4284,1.427,1.514,0.001,0.564,5.327,0.932,6.063,2.308,8.105,5.232,11.173,5.239,11.414,5.895
"Wise words from Bogle. The point of companies is products & services. They have no point in & of themselves, nor do these indices. Buy & hold stock in companies where you love the product roadmap, sell where you don’t.",0,1,0,0,0.338,0.0786,0.5834,0.119,1.099,0.002,0.426,1.274,-1.061,0.278,-1.447,1.019,-1.283,2.223,-0.82,3.417,0.024
They have an old version of our software & don’t have our NN inference computer,0,1,0,0,0.0113,0.6364,0.3522,-2.587,-2.637,0.0,0.469,-2.514,-0.535,0.641,0.453,-1.131,0.317,-1.491,-1.214,2.58,0.848
"Andrej is awesome, but it should be said that we have a very talented Autopilot/AI team at Tesla. Too much credit comes to me & Andrej.",1,1,0,0,0.962,0.0088,0.0292,1.361,-0.84,0.001,0.427,-4.225,0.231,-4.683,-1.225,-4.839,-1.379,-6.564,-0.243,-8.582,-0.944
"To be clear, this was just an XPeng problem. Other companies in China have not done this.",0,1,0,0,0.0242,0.4943,0.4814,-2.311,2.23,0.001,0.317,-3.19,4.724,-3.837,2.245,-4.978,4.034,-3.708,2.61,-2.798,3.413
"I can’t comment on turbopump internal details, but you’re roughly in the ballpark. Wow, rocket turbopumps, especially if oxygen-rich, are insanely hard! Arguably, the hardest mechanical/fluids/combustion problem known to exist.",0,1,0,0,0.2826,0.402,0.3154,0.475,-1.293,0.001,0.155,0.652,-2.529,1.295,-2.26,1.07,-3.598,0.872,-4.235,0.443,-4.706
"This is a misperception. SpaceX developed & continues to use lidar for Dragon docking with . Just pointless imo for self-driving. If you’re going to do active photon generation, use an occlusion penetrating wavelength, like precision radar at ~4mm.",0,1,0,0,0.0135,0.7326,0.2539,1.323,-2.298,0.0,0.256,-2.432,5.912,-4.411,4.907,-4.716,0.863,-3.848,2.147,-5.829,2.879
"Rapid & complete rocket reuse, low cost propellant, orbital refilling & propellant production at destination are the four essential elements of making life multiplanetary",0,1,0,0,0.7423,0.0133,0.2444,1.05,0.287,0.001,0.916,0.969,-0.273,0.34,-0.431,0.48,-0.716,0.804,-0.778,0.908,-0.475
"Not bad! We will definitely need more engines if we make the cargo bay all propellant, but it’s probably smarter than a whole new shorter external hull.",0,1,0,0,0.6584,0.0508,0.2907,0.442,-0.76,0.0,0.395,4.989,2.301,3.585,1.49,3.483,0.152,8.298,2.374,9.807,2.114
Maybe start on that a year from now. Depends on how Starship progress goes.,0,1,0,0,0.0868,0.034,0.8792,-1.902,-1.358,0.001,0.401,-1.824,-1.096,-2.763,-0.987,-2.725,-1.403,-0.425,-0.366,-3.232,0.209
